,population,gdp,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,gdp_per_capita
132,9237203.0,144296574976.0,27.549,-5.338,2.982,0.191,0.214,15621.241080876971
133,9359018.0,145980473344.0,30.21,9.658,3.228,0.207,0.207,15597.840857235236
134,9485577.0,149196423168.0,32.773,8.486,3.455,0.22,0.218,15728.766227716036
135,9614478.0,157913972736.0,33.555,2.386,3.49,0.212,0.218,16424.601807399216
136,9741879.0,162332393472.0,34.348,2.364,3.526,0.212,0.218,16663.35554691246
137,9863485.0,164036902912.0,34.683,0.974,3.516,0.211,0.202,16630.724628465498
138,9976254.0,159010799616.0,34.727,0.128,3.481,0.218,0.204,15938.928541314204
139,10071569.0,159255674880.0,34.607,-0.346,3.436,0.217,0.207,15812.399724412353
140,10152524.0,161644511232.0,34.576,-0.09,3.406,0.214,0.196,15921.608383491632
141,10232761.0,165653299200.0,37.738,9.145,3.688,0.228,0.203,16188.524211598415
142,10284952.0,158697521152.0,36.149,-4.21,3.515,0.228,0.195,15430.069207129018
143,373277.0,,2.228,3.401,5.968,,0.168,
144,377956.0,,2.114,-5.099,5.594,,0.181,
145,382073.0,,2.052,-2.946,5.37,,0.152,
146,385660.0,,2.03,-1.071,5.263,,0.161,
147,389137.0,,2.136,5.235,5.489,,0.173,
148,392707.0,,2.246,5.146,5.719,,0.19,
149,395986.0,,2.209,-1.631,5.579,,0.179,
150,399027.0,,2.51,13.599,6.29,,0.17,
151,401911.0,,2.422,-3.504,6.026,,0.151,
152,404563.0,,2.455,1.362,6.068,,0.153,
153,406478.0,,2.184,-11.045,5.372,,0.161,
154,1213655.0,39778050048.0,29.075,3.478,23.957,0.731,0.169,32775.41809492813
155,1212086.0,43727147008.0,28.468,-2.09,23.486,0.651,0.167,36075.94428778156
156,1224948.0,45357289472.0,27.119,-4.738,22.139,0.598,0.148,37027.93055052133
157,1261683.0,47813840896.0,31.158,14.892,24.695,0.652,0.153,37896.87337944634
158,1311142.0,49894227968.0,30.9,-0.828,23.567,0.619,0.153,38054.02310962504
159,1362157.0,51134095360.0,32.46,5.048,23.83,0.635,0.159,37539.06147382424
160,1409668.0,52953448448.0,31.56,-2.773,22.388,0.596,0.155,37564.48216743233
161,1456844.0,55226208256.0,32.835,4.042,22.539,0.595,0.157,37908.11387904264
162,1487346.0,56391483392.0,32.637,-0.604,21.943,0.579,0.154,37914.166167119154
163,1494195.0,57613484032.0,37.583,15.155,25.153,0.652,0.162,38558.20962591897
164,1477478.0,54937337856.0,37.396,-0.498,25.311,0.681,0.162,37183.18503287359
165,148391136.0,400087810048.0,53.992,9.855,0.364,0.135,0.215,2696.170545173264
166,150211008.0,431418703872.0,56.556,4.75,0.377,0.131,0.208,2872.0844738090036
167,152090656.0,458456629248.0,60.708,7.34,0.399,0.132,0.206,3014.3642042545994
168,154030144.0,486135234560.0,61.799,1.797,0.401,0.127,0.202,3156.1045256180505
169,155961312.0,516793794560.0,66.009,6.812,0.423,0.128,0.207,3313.602507780904
170,157830000.0,552104755200.0,73.158,10.83,0.464,0.133,0.19,3498.097669644554
171,159784576.0,589932658688.0,76.203,4.163,0.477,0.129,0.197,3692.0500930452763
172,161793968.0,630957801472.0,80.742,5.956,0.499,0.128,0.2,3899.760969284096
173,163683952.0,678912393216.0,82.556,2.247,0.504,0.122,0.192,4147.702843929379
174,165516224.0,717214580736.0,100.792,22.09,0.609,0.141,0.209,4333.198060004075
175,167420944.0,754358353920.0,93.615,-7.121,0.559,0.124,0.205,4505.758574148285
176,274717.0,3418936064.0,1.845,-7.753,6.716,0.54,0.25,12445.302125460019
177,275501.0,3406690048.0,1.942,5.227,7.047,0.57,0.251,12365.436234351237
178,276207.0,3415680000.0,1.803,-7.115,6.529,0.528,0.248,12366.377390869891
179,276873.0,3412801024.0,1.822,1.038,6.581,0.534,0.247,12326.232691522828
180,277501.0,3416199936.0,1.69,-7.246,6.09,0.495,0.263,12310.586037527793
181,278095.0,3448058880.0,1.686,-0.217,6.064,0.489,0.247,12398.852478469587
182,278660.0,3528285696.0,1.694,0.435,6.078,0.48,0.243,12661.615215675016
183,279199.0,3554020096.0,1.645,-2.9,5.89,0.463,0.249,12729.343930314937
184,279702.0,3526291712.0,1.656,0.668,5.919,0.469,0.236,12607.31675855017
185,280193.0,3535586816.0,1.667,0.672,5.948,0.471,0.236,12618.398089888042
186,280704.0,3085224448.0,1.234,-25.989,4.394,0.4,0.204,10991.024167806658
187,9731426.0,166239895552.0,62.445,3.083,6.417,0.376,0.204,17082.788848417487
188,9706983.0,173120307200.0,61.308,-1.822,6.316,0.354,0.204,17834.61526614397
189,9693754.0,175940435968.0,62.545,2.019,6.452,0.355,0.192,18149.87629849076
190,9691143.0,177632985088.0,64.126,2.527,6.617,0.361,0.218,18329.41533191699
191,9693741.0,180627881984.0,63.649,-0.743,6.566,0.352,0.216,18633.45451296873
